               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.027268,            0.036384,           0.0064798,             0.98749,             0.99147,              0.9858,              0.7642,             0.01838,            0.013301,           0.0030736,           0.0076983,           0.0076983,           0.0076983
                  95,             0.02582,            0.036855,           0.0064724,             0.98403,             0.98446,             0.98613,             0.75912,            0.018446,            0.013557,           0.0033922,           0.0076735,           0.0076735,           0.0076735
                  96,             0.02581,            0.034997,           0.0065456,             0.98762,              0.9858,             0.98555,               0.784,            0.017071,            0.013196,           0.0034657,           0.0076488,           0.0076488,           0.0076488
                  97,             0.02543,            0.034029,           0.0057963,             0.97931,             0.98617,             0.98427,             0.77696,             0.01798,            0.013419,            0.003258,            0.007624,            0.007624,            0.007624
                  98,            0.026189,            0.036249,           0.0062424,             0.97787,             0.99086,             0.98538,             0.78354,            0.017142,            0.013006,           0.0031368,           0.0075993,           0.0075993,           0.0075993
                  99,            0.025472,            0.036221,           0.0063081,             0.97647,             0.98486,             0.98549,             0.78584,              0.0179,            0.013092,           0.0036554,           0.0075745,           0.0075745,           0.0075745
                 100,            0.026775,            0.036726,           0.0062955,             0.98592,             0.98665,              0.9859,             0.78734,            0.019744,            0.013059,           0.0031827,           0.0075498,           0.0075498,           0.0075498
                 101,            0.026032,            0.036632,           0.0066669,              0.9802,              0.9835,             0.98609,             0.75092,            0.019966,            0.013356,           0.0037263,            0.007525,            0.007525,            0.007525
                 102,            0.026283,            0.034568,           0.0061979,             0.98086,             0.98249,             0.98673,             0.78734,             0.01685,            0.012764,           0.0033049,           0.0075003,           0.0075003,           0.0075003
                 103,            0.025752,             0.03382,           0.0067554,              0.9743,             0.97764,             0.98631,             0.78035,            0.017368,            0.012887,           0.0034121,           0.0074755,           0.0074755,           0.0074755
                 104,            0.025809,            0.037389,           0.0066931,             0.98389,             0.99073,             0.98575,             0.78035,            0.017677,            0.013138,           0.0029656,           0.0074507,           0.0074507,           0.0074507
                 105,            0.025823,            0.033555,           0.0059871,             0.97925,             0.98444,             0.98641,             0.78291,            0.017399,            0.013138,           0.0029821,            0.007426,            0.007426,            0.007426
                 106,            0.026465,            0.034749,           0.0062117,             0.98474,             0.98402,             0.98586,             0.77057,            0.017471,             0.01308,           0.0032449,           0.0074013,           0.0074013,           0.0074013
                 107,            0.025425,            0.034542,           0.0061858,             0.98773,             0.98667,             0.98552,             0.77547,            0.017572,             0.01292,           0.0031357,           0.0073765,           0.0073765,           0.0073765
                 108,            0.026218,            0.032609,           0.0059242,             0.97622,             0.98003,             0.98533,             0.76319,            0.019692,             0.01321,           0.0036845,           0.0073517,           0.0073517,           0.0073517
                 109,            0.025339,            0.034779,           0.0060407,             0.98292,             0.98608,             0.98645,             0.78705,            0.017092,            0.012931,           0.0033361,            0.007327,            0.007327,            0.007327
                 110,             0.02595,            0.033969,           0.0055579,             0.97585,             0.98418,             0.98628,             0.77068,            0.019322,            0.013199,           0.0034303,           0.0073023,           0.0073023,           0.0073023
                 111,            0.024965,            0.032738,           0.0055764,              0.9738,             0.98404,             0.98497,             0.76683,            0.018287,            0.013006,           0.0032263,           0.0072775,           0.0072775,           0.0072775
                 112,            0.024989,             0.03415,           0.0058276,             0.96906,             0.99088,             0.98659,             0.75032,            0.019424,             0.01331,           0.0029711,           0.0072527,           0.0072527,           0.0072527
                 113,            0.024918,            0.035381,           0.0059035,             0.97631,             0.98638,             0.98605,             0.78363,            0.017102,            0.012805,           0.0030754,            0.007228,            0.007228,            0.007228
                 114,            0.025652,            0.034462,           0.0056627,             0.97637,              0.9913,             0.98556,             0.77327,            0.017438,            0.013096,           0.0029274,           0.0072033,           0.0072033,           0.0072033
                 115,            0.025034,            0.033027,           0.0055962,             0.97934,             0.99231,             0.98539,             0.77244,            0.017789,             0.01317,           0.0028456,           0.0071785,           0.0071785,           0.0071785
                 116,            0.024968,             0.03426,           0.0055778,              0.9814,               0.984,             0.98447,             0.77409,             0.01889,            0.013258,           0.0030761,           0.0071538,           0.0071538,           0.0071538
                 117,            0.024819,            0.035082,           0.0058879,             0.97919,             0.98751,             0.98564,             0.78496,             0.01741,            0.013111,           0.0030195,            0.007129,            0.007129,            0.007129
                 118,            0.025374,            0.032974,           0.0054648,             0.97114,             0.98922,             0.98634,             0.78245,            0.018966,             0.01323,           0.0031467,           0.0071042,           0.0071042,           0.0071042
                 119,            0.025356,            0.035761,           0.0056273,             0.97675,             0.98435,              0.9848,             0.78612,            0.017155,            0.012929,           0.0032027,           0.0070795,           0.0070795,           0.0070795
                 120,            0.025564,            0.034927,           0.0055987,             0.97671,             0.98487,             0.98525,             0.77446,            0.017812,            0.012899,           0.0029748,           0.0070547,           0.0070547,           0.0070547
